,recipe_name,total_time,servings,ingredients,directions,nutrition
1047,Cranberry Orange Cookies,35 mins,48,"1 cup unsalted butter, softened, 1 cup white sugar, ½ cup packed brown sugar, 1 large egg, 2 tablespoons orange juice, 1 teaspoon grated orange zest, 2 ½ cups all-purpose flour, ½ teaspoon baking soda, ½ teaspoon salt, 2 cups chopped cranberries, ½ cup chopped walnuts (Optional)","Preheat the oven to 375 degrees F (190 degrees C).
Make the cookies: Cream butter, white sugar, and brown sugar in a mixing bowl until smooth. Beat in egg until well blended. Mix in orange juice and zest.
Whisk together flour, baking soda, and salt in a separate bowl. Stir flour mixture into the butter mixture until combined. Mix in cranberries and walnuts until evenly distributed.
Drop dough by rounded tablespoonfuls 2 inches apart onto ungreased cookie sheets.
Bake in the preheated oven, switching racks halfway through, until edges are golden, 12 to 14 minutes. Transfer cookies to wire racks to cool completely.
Meanwhile, make the glaze: Mix together confectioners' sugar, orange juice, and zest in a small bowl until smooth.
Spread glaze over the tops of the cooled cookies; let stand until set.











Kimberly Kahmann Harvey
","Total Fat 5g 6%, Saturated Fat 3g 13%, Cholesterol 14mg 5%, Sodium 67mg 3%, Total Carbohydrate 16g 6%, Dietary Fiber 1g 2%, Total Sugars 11g, Protein 1g, Vitamin C 2mg 8%, Calcium 7mg 1%, Iron 0mg 2%, Potassium 26mg 1%"
1050,Delicious Raspberry Oatmeal Cookie Bars,50 mins,9,"1 cup all-purpose flour, 1 cup rolled oats, ½ cup packed light brown sugar, ¼ teaspoon baking soda, ⅛ teaspoon salt, ½ cup butter, softened, ¾ cup seedless raspberry jam","Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch square pan; line with greased foil.
Combine flour, oats, brown sugar, baking soda, and salt in a large bowl. Rub in butter using your hands or a pastry blender to form a crumbly mixture.
Press 2 cups oat mixture into the bottom of the prepared pan. Spread jam to within 1/4 inch of the edge. Sprinkle remaining crumb mixture on top; press down lightly into jam.
Bake in the preheated oven until lightly browned, 35 to 40 minutes. Allow to cool before cutting into bars.











raph_2122
","Total Fat 11g 14%, Saturated Fat 7g 33%, Cholesterol 27mg 9%, Sodium 144mg 6%, Total Carbohydrate 47g 17%, Dietary Fiber 1g 5%, Total Sugars 29g, Protein 3g, Calcium 20mg 2%, Iron 1mg 6%, Potassium 67mg 1%"
1052,Strawberry Pie Filling,25 mins,8,"1 cup mashed strawberries, ¾ cup water, or more if needed, ¾ cup white sugar, 3 tablespoons cornstarch, 1 tablespoon lemon juice, ¼ teaspoon salt, 4 cups sliced strawberries","Combine mashed strawberries and water in a saucepan; bring to a boil and simmer for about 3 minutes.
Strain juice from cooked strawberries and add enough water to make 1 cup of juice. Discard pulp.
Combine sugar, cornstarch, lemon juice, and salt in a saucepan; stir strawberry juice into the sugar mixture. Bring to a boil, stirring constantly, until clear and thick, 3 to 5 minutes. Remove from heat and cool slightly.
Stir sliced strawberries into the strawberry sauce.","Total Fat 0g 0%, Sodium 75mg 3%, Total Carbohydrate 30g 11%, Dietary Fiber 2g 8%, Total Sugars 24g, Protein 1g, Vitamin C 63mg 317%, Calcium 18mg 1%, Iron 1mg 3%, Potassium 166mg 4%"
1053,Blueberry Simple Syrup,35 mins,12,"1 cup blueberries, 1 cup warm water, 1 cup white sugar, 1 teaspoon lemon juice","Mix blueberries, water, and sugar together using a whisk in a small saucepan over low heat until sugar is dissolved, about 5 minutes. Increase heat to medium and bring a gentle boil, stirring often, until syrup is thickened, about 15 minutes.
Whisk lemon juice into syrup; serve immediately or cool.","Sodium 1mg 0%, Total Carbohydrate 19g 7%, Dietary Fiber 0g 1%, Total Sugars 18g, Protein 0g, Vitamin C 1mg 7%, Calcium 2mg 0%, Potassium 10mg 0%"
1054,Jamie's Cranberry Spinach Salad,15 mins,8,"1 tablespoon butter, ¾ cup almonds, blanched and slivered, 1 pound spinach, rinsed and torn into bite-size pieces, 1 cup dried cranberries","Melt butter in a medium saucepan over medium heat. Cook and stir almonds in butter until lightly toasted. Remove from heat and let cool.
Make dressing: Whisk together oil, sugar, cider vinegar, white wine vinegar, sesame seeds, poppy seeds, minced onion, and paprika in a medium bowl.
Combine spinach with toasted almonds and cranberries in a large serving bowl. Pour dressing over spinach mixture; toss well.









","Total Fat 24g 30%, Saturated Fat 3g 17%, Cholesterol 4mg 1%, Sodium 58mg 3%, Total Carbohydrate 30g 11%, Dietary Fiber 4g 13%, Total Sugars 23g, Protein 5g, Vitamin C 16mg 81%, Calcium 127mg 10%, Iron 3mg 14%, Potassium 423mg 9%"
1056,Bacon Wrapped Dates Stuffed with Blue Cheese,1 hrs,32,"1 pound sliced bacon, cut in half, 1 pound pitted dates, 4 ounces blue cheese","Preheat the oven to 375 degrees F (190 degrees C).
Slice dates in half, and open them up. Pinch off pieces of blue cheese, and place them into the center of the dates. Close the halves of the dates, and wrap a half-slice of bacon around the outside. Secure each one with a toothpick. Arrange in a baking dish or on a baking sheet with sides to catch any grease.
Bake for 30 to 40 minutes in the preheated oven, or until the bacon is crisp. Turn dates over after the first 20 minutes for even cooking.","Total Fat 3g 4%, Saturated Fat 1g 7%, Cholesterol 8mg 3%, Sodium 157mg 7%, Total Carbohydrate 11g 4%, Dietary Fiber 1g 4%, Total Sugars 9g, Protein 3g, Vitamin C 0mg 1%, Calcium 25mg 2%, Iron 0mg 1%, Potassium 128mg 3%"
1058,Low-Sugar Date Brownies,50 mins,16,"1 cup pitted Deglet Noor dates, 1 cup hot water, ½ cup unsalted butter, softened, 2  large eggs, 2 teaspoons vanilla extract, ⅓ cup whole wheat flour, ⅓ cup unsweetened cocoa powder, ½ teaspoon baking soda, ¼ teaspoon salt, ½ cup bittersweet chocolate chips (Optional)","Place dates in a small bowl and pour in hot water. Soak for 10 to 15 minutes.
Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch baking dish with parchment paper, leaving enough paper to hang over the sides of the dish.
Drain dates and transfer to a food processor. Pulse until dates are completely smooth, 1 to 2 minutes. If date paste is too thick, add hot water 1 tablespoon at a time until completely pureed.
Add softened butter to the food processor and pulse to combine, about 30 seconds. Add eggs and vanilla extract and process until light and fluffy, about 1 minute. Add whole wheat flour, cocoa powder, baking soda, and salt. Pulse until mixture is just combined, about 30 seconds. Gently stir in chocolate chips by hand. Pour batter into the prepared baking dish.
Bake in the preheated oven until edges just begin to set, 20 to 25 minutes. Cool in the pan for 10 minutes, then remove brownies from pan by gently lifting up edges of parchment paper. Allow to cool completely on a cooling rack. Cut into 16 pieces.","Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 39mg 13%, Sodium 87mg 4%, Total Carbohydrate 15g 5%, Dietary Fiber 2g 8%, Total Sugars 10g, Protein 2g, Calcium 15mg 1%, Iron 1mg 4%, Potassium 141mg 3%"
1060,Date Balls,25 mins,24,"1 (8 ounce) package pitted dates, chopped, 1 cup white sugar, ½ cup butter or margarine, 3 cups crispy rice cereal, 1 cup chopped pecans, 1 teaspoon vanilla extract, ½ cup confectioners' sugar, or as needed","Place dates, sugar, and margarine in a large saucepan over low heat; cook and stir until sugar dissolves. Remove from heat and fold in crispy rice cereal, pecans, and vanilla extract until evenly mixed.
Roll date mixture into 1-inch balls using lightly greased hands; allow balls to cool.
Spread confectioners' sugar into a shallow dish; roll date balls in confectioners' sugar to coat.","Total Fat 7g 9%, Saturated Fat 1g 5%, Sodium 71mg 3%, Total Carbohydrate 22g 8%, Dietary Fiber 1g 4%, Total Sugars 17g, Protein 1g, Vitamin C 2mg 12%, Calcium 9mg 1%, Iron 1mg 8%, Potassium 86mg 2%"
1064,Devils on Horseback,1 hrs,20,"20  wooden toothpicks, ¼ cup reduced-sodium soy sauce, ½ teaspoon ground ginger, ¾ cup dark brown sugar, 20  dates, pitted and left whole, 20  whole smoked almonds, 10  bacon slices, cut in half crosswise","Preheat oven to 400 degrees F (200 degrees C). Soak the toothpicks in a bowl of water. Grease a 9x13-inch baking dish.
In a bowl, mix together the soy sauce and ground ginger. Place the brown sugar into a shallow bowl. Spread open a pitted date, then stuff it with a smoked almond. Wrap the date with half a bacon slice, secure it with a toothpick, dip the bundle in soy sauce mixture, and then dip it into brown sugar. Place the wrapped dates into the prepared baking dish. If desired, sprinkle a little more brown sugar over the bundles.
Bake in the preheated oven until the bacon is brown and crisp, 15 to 25 minutes. Allow to cool for about 15 minutes before serving; serve warm or at room temperature.","Total Fat 7g 9%, Saturated Fat 2g 11%, Cholesterol 10mg 3%, Sodium 226mg 10%, Total Carbohydrate 12g 4%, Dietary Fiber 1g 3%, Total Sugars 11g, Protein 2g, Calcium 12mg 1%, Iron 0mg 2%, Potassium 106mg 2%"
1065,Coconut Date Balls,25 mins,24,"2  eggs, beaten, 1 cup white sugar, 1 cup chopped dates, 1 teaspoon vanilla extract, 1 tablespoon butter, 3 cups crispy rice cereal, 1 cup flaked coconut","In a medium saucepan over medium heat, combine the eggs sugar and dates. Bring to a boil, stirring occasionally, and boil for 5 minutes. Remove from heat and stir in the butter and vanilla. Mix in crispy rice cereal. Butter hands and roll the mixture into walnut sized balls. Roll the balls in coconut. Serve.","Total Fat 2g 2%, Saturated Fat 1g 7%, Cholesterol 17mg 6%, Sodium 45mg 2%, Total Carbohydrate 18g 6%, Dietary Fiber 1g 3%, Total Sugars 14g, Protein 1g, Vitamin C 2mg 12%, Calcium 5mg 0%, Iron 1mg 7%, Potassium 61mg 1%"
1067,Sugar-Free Date Cookies,30 mins,18,"1 cup chopped dates, ¼ cup chopped pecans, ¼ cup water, ½  very ripe banana, mashed, 1 large egg, lightly beaten, 2 tablespoons butter, melted, ½ teaspoon vanilla extract, 1 cup all-purpose flour, 1 teaspoon baking powder, 1 teaspoon cinnamon, ¼ teaspoon salt","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
Combine the dates, pecans, water, banana, egg, butter, and vanilla extract in a bowl.
Whisk flour, baking powder, cinnamon, and salt together in a separate bowl. Add to the date mixture and stir until well combined.
Drop dough by tablespoonfuls about 1 inch apart onto the prepared baking sheet and flatten lightly with the palm of your hand.
Bake in the preheated oven until cookies start to brown around the edges, being careful not to over-bake, for 11 to 13 minutes. Transfer cookies immediately to a wire rack to cool.","Total Fat 3g 4%, Saturated Fat 1g 5%, Cholesterol 14mg 5%, Sodium 73mg 3%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 5%, Total Sugars 7g, Protein 2g, Vitamin C 0mg 2%, Calcium 24mg 2%, Iron 1mg 3%, Potassium 95mg 2%"
1070,Bacon Wrapped Dates,25 mins,16,"16  fresh or dried pitted dates, such as Medjool, 16  smoked almonds, 8 thick slices applewood-smoked bacon, halved crosswise,   Reynolds Wrap® Aluminum Foil","Preheat oven to 400 degrees F. Cut a slit in each date. Place almonds inside slits. Press together the dates to close slits. Wrap each date with a piece of bacon.
Line a shallow baking pan with Reynolds Wrap® Aluminum Foil. Add a roasting rack; place the dates on rack. Roast for 15 to 20 minutes or until bacon is crisp. Serve immediately with toothpicks. Dates will be hot inside.","Total Fat 3g 4%, Saturated Fat 1g 5%, Cholesterol 7mg 2%, Sodium 145mg 6%, Total Carbohydrate 7g 2%, Dietary Fiber 1g 3%, Total Sugars 5g, Protein 3g, Calcium 7mg 1%, Iron 0mg 1%, Potassium 99mg 2%"
1075,Bacon and Date Appetizer,35 mins,6,"1 (8 ounce) package pitted dates, 4 ounces almonds, 1 pound sliced bacon","Preheat the broiler.
Slit dates. Place one almond inside each date. Wrap dates with bacon, using toothpicks to hold them together.
Broil 10 minutes, or until bacon is evenly brown and crisp.","Total Fat 44g 56%, Saturated Fat 12g 61%, Cholesterol 52mg 17%, Sodium 631mg 27%, Total Carbohydrate 32g 12%, Dietary Fiber 5g 19%, Total Sugars 25g, Protein 14g, Vitamin C 0mg 1%, Calcium 65mg 5%, Iron 2mg 8%, Potassium 538mg 11%"
1077,Pecan Pie Energy Bites,25 mins,12,"1 cup pecan halves, ⅓ cup rolled oats, 1 cup pitted Medjool dates, ⅛ teaspoon ground cinnamon, ¼ teaspoon kosher salt, ¼ teaspoon vanilla extract, 1 tablespoon maple syrup","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
Arrange a single layer of pecans on the prepared baking sheet. Top with rolled oats. Bake in the preheated oven until toasted, about 10 minutes. Allow to cool completely.
Pulse pecans, oats, dates, cinnamon, salt, vanilla extract, and maple syrup in a food processor until nuts are ground to desired consistency.
Shape mixture into twelve 2-inch tightly-packed balls. Refrigerate before serving.











Chef John
","Total Fat 7g 8%, Saturated Fat 1g 3%, Sodium 41mg 2%, Total Carbohydrate 15g 5%, Dietary Fiber 2g 7%, Protein 2g, Potassium 144mg 3%"
1080,Coconut Date Bars,40 mins,4,"⅓ cup slivered almonds, ½ cup flaked coconut, 10  pitted dates, or to taste, ¼ cup cashews, or to taste, 1 teaspoon coconut oil","Blend almonds and coconut in a food processor; add dates and pulse until combined. Add cashews and coconut oil; pulse until mixture is thick and sticks together. Transfer to a sheet of waxed paper; form into a square, folding sides of waxed paper over the top. Refrigerate until solid, at least 30 minutes.","Total Fat 17g 22%, Saturated Fat 9g 44%, Sodium 61mg 3%, Total Carbohydrate 23g 8%, Dietary Fiber 5g 17%, Total Sugars 15g, Protein 5g, Vitamin C 0mg 2%, Calcium 38mg 3%, Iron 1mg 8%, Potassium 304mg 6%"
1082,Power Cookies,30 mins,18,"4 cups rolled oats, 1 (15 ounce) can cannellini beans, drained and rinsed, ½ cup white sugar, ½ cup brown sugar, 1 teaspoon vanilla extract, 1 teaspoon baking powder, 1 teaspoon baking soda, 1 teaspoon ground cinnamon, ½ cup chopped pitted dates, ½ cup flaked coconut, ½ cup raisins, ½ cup chopped walnuts","Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets. Grind the oats in a blender until resembling coarse flour.
In a medium bowl, mash beans to a smooth paste. Stir in the white sugar, brown sugar and vanilla until well blended. Combine the ground oats, baking powder, baking soda and cinnamon; blend into the bean mixture. Stir in the dates, coconut, raisins and walnuts. Drop dough by heaping spoonfuls onto the prepared cookie sheet.
Bake for 10 to 15 minutes in the preheated oven, until golden. Cool on baking sheets for 5 minutes then remove to wire racks to cool completely.","Total Fat 4g 5%, Saturated Fat 1g 5%, Sodium 147mg 6%, Total Carbohydrate 33g 12%, Dietary Fiber 4g 13%, Total Sugars 16g, Protein 4g, Vitamin C 0mg 1%, Calcium 40mg 3%, Iron 1mg 8%, Potassium 154mg 3%"
1084,Paleo Almond Date Cookies,50 mins,24,"2 ½ cups blanched almond flour, 1 cup pitted and chopped dates, ½ cup chopped dried cherries, ½ cup chopped walnuts, 2 tablespoons chia seeds, or more to taste, ½ teaspoon baking soda, ½ teaspoon sea salt, ½ cup coconut oil, 1  egg, 2 tablespoons maple syrup, 1 tablespoon vanilla extract","Preheat oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper.
Combine almond flour, dates, cherries, walnuts, chia seeds, baking soda, and sea salt in a large bowl; whisk to blend. Add coconut oil, egg, maple syrup, and vanilla extract; blend well with a spoon or fork until dough comes together.
Scoop dough onto prepared baking sheets with a small cookie scoop.
Bake in the preheated oven until edges are golden, about 15 minutes. Turn off oven and let cookies sit with oven door closed, about 10 minutes more. Remove from oven and let cool.","Total Fat 13g 17%, Saturated Fat 5g 24%, Cholesterol 8mg 3%, Sodium 67mg 3%, Total Carbohydrate 12g 4%, Dietary Fiber 3g 9%, Total Sugars 8g, Protein 4g, Vitamin C 0mg 1%, Calcium 13mg 1%, Iron 1mg 4%, Potassium 68mg 1%"
1085,Date-Nut Balls,30 mins,48,"14 tablespoons butter, 1 cup pitted chopped dates, 1 cup white sugar, 2 cups crispy rice cereal (such as Rice Krispies®), 1 cup chopped pecans, 2 tablespoons confectioners' sugar, or as needed","Melt butter in a saucepan over medium heat; cook and stir dates and white sugar in melted butter until thick and golden brown, 10 to 15 minutes. Remove saucepan from heat.
Stir crispy rice cereal and pecans into hot date mixture. Let cool until easily handled, 5 to 10 minutes.
Form mixture into small balls with your hands.
Pour confectioners' sugar into a resealable plastic bag; add date-nut balls, seal the bag, and lightly shake until well-coated.","Total Fat 5g 6%, Saturated Fat 2g 12%, Cholesterol 9mg 3%, Sodium 33mg 1%, Total Carbohydrate 8g 3%, Dietary Fiber 1g 2%, Total Sugars 7g, Protein 0g, Vitamin C 1mg 4%, Calcium 4mg 0%, Iron 1mg 3%, Potassium 32mg 1%"
